Plot Title: 20036649 Audubon 01,,,
#,"Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
317,04/08/18 21:00,22.6917,24.29
318,04/08/18 21:15,22.6917,24.24
319,04/08/18 21:30,22.6917,24.16
320,04/08/18 21:45,22.6917,24.29
321,04/08/18 22:00,22.6917,24.23
322,04/08/18 22:15,22.6917,24.02
323,04/08/18 22:30,22.6917,23.59
324,04/08/18 22:45,22.6917,23.44
325,04/08/18 23:00,22.6917,23.62
326,04/08/18 23:15,22.6917,23.81
327,04/08/18 23:30,22.6917,23.63
328,04/08/18 23:45,22.6917,23.52
329,04/09/18 0:00,22.6917,23.37
330,04/09/18 0:15,22.6917,23.28
331,04/09/18 0:30,22.6917,23.24
332,04/09/18 0:45,22.6917,23.13
333,04/09/18 1:00,22.6917,23.07
334,04/09/18 1:15,22.6917,22.93
335,04/09/18 1:30,22.6917,22.78
336,04/09/18 1:45,22.6917,22.69
337,04/09/18 2:00,22.6917,22.67
338,04/09/18 2:15,22.6917,22.12
339,04/09/18 2:30,22.6917,22.67
340,04/09/18 2:45,22.6917,22.64
341,04/09/18 3:00,22.6917,22.48
342,04/09/18 3:15,22.6917,22.53
343,04/09/18 3:30,22.6917,22.76
344,04/09/18 3:45,22.6917,22.76
345,04/09/18 4:00,22.6917,22.79
346,04/09/18 4:15,22.6917,22.56
347,04/09/18 4:30,22.6917,21.96
348,04/09/18 4:45,22.6917,21.65
349,04/09/18 5:00,22.6917,22.33
350,04/09/18 5:15,22.6917,22.39
351,04/09/18 5:30,22.6917,22.03
352,04/09/18 5:45,22.6917,20.65
353,04/09/18 6:00,22.6917,22.61
354,04/09/18 6:15,22.6917,22.51
355,04/09/18 6:30,22.6917,22.57
356,04/09/18 6:45,22.6917,22.71
357,04/09/18 7:00,22.6917,22.67
358,04/09/18 7:15,22.6917,22.71
359,04/09/18 7:30,22.6917,22.63
360,04/09/18 7:45,22.6917,22.48
361,04/09/18 8:00,22.6917,22.46
362,04/09/18 8:15,22.6917,22.38
363,04/09/18 8:30,22.6917,21.61
364,04/09/18 8:45,22.6917,21.68
365,04/09/18 9:00,22.6917,21.66
366,04/09/18 9:15,22.6917,21.38
367,04/09/18 9:30,22.6917,21.06
368,04/09/18 9:45,22.6917,19.66
369,04/09/18 10:00,22.6917,19.92
370,04/09/18 10:15,22.6917,19.98
371,04/09/18 10:30,22.6917,19.96
372,04/09/18 10:45,22.6917,20.1
373,04/09/18 11:00,22.6917,20.88
374,04/09/18 11:15,22.6917,20.76
375,04/09/18 11:30,22.6917,20.91
376,04/09/18 11:45,22.6917,21.14
377,04/09/18 12:00,22.6917,21.44
378,04/09/18 12:15,22.6917,21.78
379,04/09/18 12:30,22.6917,22.04
380,04/09/18 12:45,22.6917,22.3
381,04/09/18 13:00,22.6917,22.59
382,04/09/18 13:15,22.6917,22.82
383,04/09/18 13:30,22.6917,23.11
384,04/09/18 13:45,22.6917,23.37
385,04/09/18 14:00,22.6917,23.64
386,04/09/18 14:15,22.6917,23.82
387,04/09/18 14:30,22.6917,24
388,04/09/18 14:45,22.6917,24.24
389,04/09/18 15:00,22.6917,24.32
390,04/09/18 15:15,22.6917,24.47
391,04/09/18 15:30,22.6917,24.62
392,04/09/18 15:45,22.6917,24.77
393,04/09/18 16:00,22.6917,24.83
394,04/09/18 16:15,22.6917,24.93
395,04/09/18 16:30,22.6917,25.04
396,04/09/18 16:45,22.6917,25.14
397,04/09/18 17:00,22.6917,25.19
398,04/09/18 17:15,22.6917,25.22
399,04/09/18 17:30,22.6917,25.2
400,04/09/18 17:45,22.6917,25.1
401,04/09/18 18:00,22.6917,25.17
402,04/09/18 18:15,22.6917,25.22
403,04/09/18 18:30,22.6917,25.19
404,04/09/18 18:45,22.6917,25.13
405,04/09/18 19:00,22.6917,25.12
406,04/09/18 19:15,22.6917,25.06
407,04/09/18 19:30,22.6917,24.93
408,04/09/18 19:45,22.6917,24.89
409,04/09/18 20:00,22.6917,24.72
410,04/09/18 20:15,22.6917,24.57
411,04/09/18 20:30,22.6917,24.23
412,04/09/18 20:45,22.6917,24.27
413,04/09/18 21:00,22.6917,24.4
414,04/09/18 21:15,22.6917,24.5
415,04/09/18 21:30,22.6917,24.54
416,04/09/18 21:45,22.6917,24.7
417,04/09/18 22:00,22.6917,24.85
418,04/09/18 22:15,22.6917,24.93
419,04/09/18 22:30,22.6917,24.75
420,04/09/18 22:45,22.6917,24.78
421,04/09/18 23:00,22.6917,24.4
422,04/09/18 23:15,22.6917,24.37
423,04/09/18 23:30,22.6917,24.37
424,04/09/18 23:45,22.6917,24.21
425,04/10/18 0:00,22.6917,24.39
426,04/10/18 0:15,22.6917,24.39
427,04/10/18 0:30,22.6917,24.36
428,04/10/18 0:45,22.6917,24.3
429,04/10/18 1:00,22.6917,23.89
430,04/10/18 1:15,22.6917,23.88
431,04/10/18 1:30,22.6917,24.23
432,04/10/18 1:45,22.6917,24.11
433,04/10/18 2:00,22.6917,24.09
434,04/10/18 2:15,22.6917,23.96
435,04/10/18 2:30,22.6917,23.91
436,04/10/18 2:45,22.6917,23.85
437,04/10/18 3:00,22.6917,23.78
438,04/10/18 3:15,22.6917,23.52
439,04/10/18 3:30,22.6917,23.37
440,04/10/18 3:45,22.6917,22.88
441,04/10/18 4:00,22.6917,22.56
442,04/10/18 4:15,22.6917,22.39
443,04/10/18 4:30,22.6917,22.37
444,04/10/18 4:45,22.6917,22.21
445,04/10/18 5:00,22.6917,22.11
446,04/10/18 5:15,22.6917,22.03
447,04/10/18 5:30,22.6917,21.78
448,04/10/18 5:45,22.6917,21.53
449,04/10/18 6:00,22.6917,21.52
450,04/10/18 6:15,22.6917,21.45
451,04/10/18 6:30,22.6917,21.39
452,04/10/18 6:45,22.6917,21.35
453,04/10/18 7:00,22.6917,21.25
454,04/10/18 7:15,22.6917,21.41
455,04/10/18 7:30,22.6917,21.39
456,04/10/18 7:45,22.6917,21.36
457,04/10/18 8:00,22.6917,21.37
458,04/10/18 8:15,22.6917,21.45
459,04/10/18 8:30,22.6917,21.45
460,04/10/18 8:45,22.6917,21.37
461,04/10/18 9:00,22.6917,21.37
462,04/10/18 9:15,22.6917,21.33
463,04/10/18 9:30,22.6917,21.16
464,04/10/18 9:45,22.6917,20.73
465,04/10/18 10:00,22.6917,20.78
466,04/10/18 10:15,22.6917,20.57
467,04/10/18 10:30,22.6917,20.65
468,04/10/18 10:45,22.6917,20.68
469,04/10/18 11:00,22.6917,20.8
470,04/10/18 11:15,22.6917,21.45
471,04/10/18 11:30,22.6917,21.85
472,04/10/18 11:45,22.6917,21.98
473,04/10/18 12:00,22.6917,22.31
474,04/10/18 12:15,22.6917,22.65
475,04/10/18 12:30,22.6917,22.88
476,04/10/18 12:45,22.6917,23.22
477,04/10/18 13:00,22.6917,23.2
478,04/10/18 13:15,22.6917,23.81
479,04/10/18 13:30,22.6917,24.6
480,04/10/18 13:45,22.6917,24.89
481,04/10/18 14:00,22.6917,24.95
482,04/10/18 14:15,22.6917,25.17
483,04/10/18 14:30,22.6917,25.21
484,04/10/18 14:45,22.6917,25.32
485,04/10/18 15:00,22.6917,25.49
486,04/10/18 15:15,22.6917,25.65
487,04/10/18 15:30,22.6917,25.65
488,04/10/18 15:45,22.6917,25.7
489,04/10/18 16:00,22.6917,25.85
