"Plot Title: 20246312"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20246312, SEN S/N: 20246312)","Temp, °C (LGR S/N: 20246312, SEN S/N: 20246312)"
343,03/18/18 03:30:00 AM,768.12,13.846
344,03/18/18 03:45:00 AM,768.00,14.038
345,03/18/18 04:00:00 AM,767.83,13.558
346,03/18/18 04:15:00 AM,767.89,13.461
347,03/18/18 04:30:00 AM,767.77,13.654
348,03/18/18 04:45:00 AM,767.71,13.750
349,03/18/18 05:00:00 AM,767.82,13.942
350,03/18/18 05:15:00 AM,767.88,14.038
351,03/18/18 05:30:00 AM,768.00,14.038
352,03/18/18 05:45:00 AM,768.06,13.942
353,03/18/18 06:00:00 AM,768.12,13.846
354,03/18/18 06:15:00 AM,768.12,13.846
355,03/18/18 06:30:00 AM,768.42,13.750
356,03/18/18 06:45:00 AM,768.48,13.654
357,03/18/18 07:00:00 AM,768.48,13.654
358,03/18/18 07:15:00 AM,768.54,13.558
359,03/18/18 07:30:00 AM,768.54,13.558
360,03/18/18 07:45:00 AM,768.60,13.461
361,03/18/18 08:00:00 AM,768.66,13.365
362,03/18/18 08:15:00 AM,768.84,13.269
363,03/18/18 08:30:00 AM,769.32,13.269
364,03/18/18 08:45:00 AM,769.38,13.173
365,03/18/18 09:00:00 AM,769.56,13.269
366,03/18/18 09:15:00 AM,769.68,13.269
367,03/18/18 09:30:00 AM,769.90,13.461
368,03/18/18 09:45:00 AM,769.96,13.558
369,03/18/18 10:00:00 AM,770.08,13.558
370,03/18/18 10:15:00 AM,770.19,13.750
371,03/18/18 10:30:00 AM,770.19,13.750
372,03/18/18 10:45:00 AM,770.31,13.942
373,03/18/18 11:00:00 AM,770.53,14.134
374,03/18/18 11:15:00 AM,770.70,14.421
375,03/18/18 11:30:00 AM,770.81,14.613
376,03/18/18 11:45:00 AM,770.85,15.091
377,03/18/18 12:00:00 PM,771.06,15.473
378,03/18/18 12:15:00 PM,771.10,15.760
379,03/18/18 12:30:00 PM,771.09,15.951
